"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"compatible.C:ItemCritical_7"	-0.063	0.113	-0.559	0.576
"compatible.C:ItemCritical_8"	1.121	0.113	9.893	0
"compatible.C:ItemCritical_9"	1.147	0.113	10.122	0
"compatible.C:ItemMixed_1"	1.098	0.113	9.692	0
"compatible.C:ItemMixed_11"	-0.42	0.113	-3.705	0
"compatible.C:ItemMixed_12"	0.852	0.113	7.514	0
"compatible.C:ItemMixed_13"	-0.458	0.113	-4.041	0
"compatible.C:ItemMixed_14"	-0.287	0.113	-2.531	0.011
"compatible.C:ItemMixed_15"	1.667	0.113	14.713	0
"compatible.C:ItemMixed_16"	0.152	0.113	1.344	0.179
"compatible.C:ItemMixed_17"	-0.572	0.113	-5.046	0
"compatible.C:ItemMixed_18"	-0.917	0.113	-8.091	0
"compatible.C:ItemMixed_19"	-0.238	0.113	-2.096	0.036
"compatible.C:ItemMixed_2"	2.258	0.113	19.925	0
"compatible.C:ItemMixed_21"	1.348	0.113	11.899	0
"compatible.C:ItemMixed_22"	0.042	0.113	0.373	0.709
"compatible.C:ItemMixed_23"	2.415	0.113	21.31	0
"compatible.C:ItemMixed_24"	1.103	0.113	9.733	0
"compatible.C:ItemMixed_25"	1.225	0.113	10.807	0
"compatible.C:ItemMixed_26"	0.248	0.113	2.185	0.029
"compatible.C:ItemMixed_27"	0.87	0.113	7.675	0
"compatible.C:ItemMixed_28"	-0.574	0.113	-5.061	0
"compatible.C:ItemMixed_29"	2.021	0.113	17.831	0
"compatible.C:ItemMixed_3"	0.631	0.113	5.571	0
"compatible.C:ItemMixed_30"	0.563	0.113	4.965	0
"compatible.C:ItemMixed_31"	-0.157	0.113	-1.385	0.166
"compatible.C:ItemMixed_32"	-2.163	0.113	-19.091	0
"compatible.C:ItemMixed_33"	2.147	0.113	18.944	0
"compatible.C:ItemMixed_34"	-1.021	0.113	-9.013	0
"compatible.C:ItemMixed_35"	-0.843	0.113	-7.44	0
"compatible.C:ItemMixed_36"	-0.797	0.113	-7.035	0
"compatible.C:ItemMixed_37"	1.013	0.113	8.939	0
"compatible.C:ItemMixed_38"	-0.298	0.113	-2.633	0.008
"compatible.C:ItemMixed_39"	0.438	0.113	3.867	0
"compatible.C:ItemMixed_4"	1.438	0.113	12.689	0
"compatible.C:ItemMixed_40"	0.227	0.113	2.007	0.045
"compatible.C:ItemMixed_41"	1.709	0.113	15.08	0
"compatible.C:ItemMixed_42"	1.407	0.113	12.417	0
"compatible.C:ItemMixed_43"	0.175	0.113	1.548	0.122
"compatible.C:ItemMixed_5"	1.456	0.113	12.847	0
"compatible.C:ItemMixed_6"	0.33	0.113	2.916	0.004
"compatible.C:ItemMixed_7"	0.112	0.113	0.989	0.323
"compatible.C:ItemMixed_8"	-1.418	0.113	-12.51	0
"compatible.C:ItemMixed_9"	-0.676	0.113	-5.961	0
"compatible.C:Item232_Critical_0"	0.044	0.113	0.392	0.695
"compatible.C:Item232_Critical_1"	-0.447	0.113	-3.945	0
"compatible.C:Item232_Critical_10"	-0.409	0.113	-3.606	0
"compatible.C:Item232_Critical_11"	-2.536	0.113	-22.375	0
"compatible.C:Item232_Critical_12"	-0.94	0.113	-8.295	0
"compatible.C:Item232_Critical_13"	-0.504	0.113	-4.446	0
"compatible.C:Item232_Critical_14"	-1.953	0.113	-17.233	0
"compatible.C:Item232_Critical_15"	-1.355	0.113	-11.961	0
"compatible.C:Item232_Critical_16"	1.816	0.113	16.029	0
"compatible.C:Item232_Critical_17"	-0.15	0.113	-1.325	0.185
"compatible.C:Item232_Critical_18"	-0.04	0.113	-0.353	0.724
"compatible.C:Item232_Critical_19"	0.106	0.113	0.933	0.351
"compatible.C:Item232_Critical_2"	-0.571	0.113	-5.039	0
"compatible.C:Item232_Critical_20"	-0.183	0.113	-1.616	0.106
"compatible.C:Item232_Critical_21"	-0.216	0.113	-1.908	0.056
"compatible.C:Item232_Critical_23"	-0.748	0.113	-6.604	0
"compatible.C:Item232_Critical_24"	1.213	0.113	10.705	0
"compatible.C:Item232_Critical_25"	-0.8	0.113	-7.063	0
"compatible.C:Item232_Critical_26"	1.299	0.113	11.464	0
"compatible.C:Item232_Critical_27"	-1.57	0.113	-13.85	0
"compatible.C:Item232_Critical_28"	1.078	0.113	9.514	0
"compatible.C:Item232_Critical_3"	1.693	0.113	14.94	0
"compatible.C:Item232_Critical_30"	0.237	0.113	2.091	0.037
"compatible.C:Item232_Critical_4"	0.483	0.113	4.265	0
"compatible.C:Item232_Critical_5"	0.844	0.113	7.446	0
"compatible.C:Item232_Critical_6"	-0.718	0.113	-6.34	0
"compatible.C:Item232_Critical_7"	-0.107	0.113	-0.946	0.344
"compatible.C:Item232_Critical_8"	-0.358	0.113	-3.162	0.002
"compatible.C:Item232_Critical_9"	-2.681	0.113	-23.655	0
"compatible.C:Item238_Critical_Vadv1"	-2.023	0.278	-7.288	0
"compatible.C:Item238_Critical_VAdv1"	5.212	0.278	18.776	0
"compatible.C:Item238_Critical_Vadv2"	0.397	0.113	3.499	0
"compatible.C:Item238_Critical_Vadv3"	0.946	0.113	8.348	0
"compatible.C:Item238_Critical_Vadv5"	0.466	0.113	4.111	0
"compatible.C:Item238_Critical_Vadv6"	-0.553	0.113	-4.88	0
"compatible.C:Item238_Critical_Vadv7"	2.164	0.113	19.098	0
"compatible.C:Item238_Critical_Vadv8"	0.506	0.113	4.464	0
"compatible.C:Item238_Critical_Vadv9"	0.401	0.113	3.538	0
"compatible.C:Item238_Critical_VN1"	0.71	0.113	6.263	0
"compatible.C:Item238_Critical_VN2"	-1.258	0.113	-11.101	0
"compatible.C:Item238_Critical_VN3"	-0.033	0.113	-0.293	0.77
"compatible.C:Item238_Critical_VN5"	0.584	0.113	5.156	0
"compatible.C:ItemCritical_6"	0.705	0.113	6.223	0
"RC.C:EmbBias.C"	0.036	0.073	0.488	0.626
"Item232_Critical_29:EmbBias.C"	-0.173	0.058	-2.989	0.003
