"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"compatible.C:ItemMixed_32"	0.367	0.15	2.449	0.014
"compatible.C:ItemMixed_33"	0.036	0.15	0.243	0.808
"compatible.C:ItemMixed_34"	-0.776	0.15	-5.172	0
"compatible.C:ItemMixed_35"	-0.897	0.15	-5.98	0
"compatible.C:ItemMixed_36"	-0.577	0.15	-3.845	0
"compatible.C:ItemMixed_37"	1.761	0.15	11.738	0
"compatible.C:ItemMixed_38"	-1.216	0.15	-8.104	0
"compatible.C:ItemMixed_39"	-0.309	0.15	-2.063	0.039
"compatible.C:ItemMixed_4"	-0.208	0.15	-1.384	0.166
"compatible.C:ItemMixed_40"	-0.718	0.15	-4.787	0
"compatible.C:ItemMixed_41"	1.845	0.15	12.302	0
"compatible.C:ItemMixed_42"	1.535	0.15	10.23	0
"compatible.C:ItemMixed_43"	1.132	0.15	7.548	0
"compatible.C:ItemMixed_5"	2.876	0.15	19.17	0
"compatible.C:ItemMixed_6"	-1.438	0.15	-9.583	0
"compatible.C:ItemMixed_7"	-0.128	0.15	-0.852	0.394
"compatible.C:ItemMixed_8"	-0.946	0.15	-6.309	0
"compatible.C:ItemMixed_9"	-0.125	0.15	-0.834	0.404
"compatible.C:Item232_Critical_0"	-0.82	0.15	-5.467	0
"compatible.C:Item232_Critical_1"	-0.129	0.15	-0.862	0.388
"compatible.C:Item232_Critical_10"	-1.622	0.15	-10.811	0
"compatible.C:Item232_Critical_11"	-1.678	0.15	-11.183	0
"compatible.C:Item232_Critical_12"	-0.398	0.15	-2.655	0.008
"compatible.C:Item232_Critical_13"	-2.465	0.15	-16.43	0
"compatible.C:Item232_Critical_14"	-1.151	0.15	-7.675	0
"compatible.C:Item232_Critical_15"	-0.714	0.15	-4.758	0
"compatible.C:Item232_Critical_16"	0.881	0.15	5.874	0
"compatible.C:Item232_Critical_17"	0.106	0.15	0.709	0.479
"compatible.C:Item232_Critical_18"	0.389	0.15	2.592	0.01
"compatible.C:Item232_Critical_19"	-0.002	0.15	-0.011	0.992
"compatible.C:Item232_Critical_2"	1.14	0.15	7.597	0
"compatible.C:Item232_Critical_20"	0.219	0.15	1.463	0.144
"compatible.C:Item232_Critical_21"	0.028	0.15	0.187	0.852
"compatible.C:Item232_Critical_23"	-0.467	0.15	-3.115	0.002
"compatible.C:Item232_Critical_24"	1.532	0.15	10.212	0
"compatible.C:Item232_Critical_25"	0.629	0.15	4.193	0
"compatible.C:Item232_Critical_26"	-0.189	0.15	-1.259	0.208
"compatible.C:Item232_Critical_27"	-0.055	0.15	-0.369	0.712
"compatible.C:Item232_Critical_28"	1.225	0.15	8.168	0
"compatible.C:Item232_Critical_3"	3.869	0.15	25.79	0
"compatible.C:Item232_Critical_30"	-0.338	0.15	-2.251	0.024
"compatible.C:Item232_Critical_4"	1.095	0.15	7.298	0
"compatible.C:Item232_Critical_5"	1.017	0.15	6.781	0
"compatible.C:Item232_Critical_6"	1.013	0.15	6.754	0
"compatible.C:Item232_Critical_7"	1.257	0.15	8.378	0
"compatible.C:Item232_Critical_8"	0.286	0.15	1.905	0.057
"compatible.C:Item232_Critical_9"	0.194	0.15	1.291	0.197
"compatible.C:Item238_Critical_Vadv1"	-0.992	0.367	-2.701	0.007
"compatible.C:Item238_Critical_VAdv1"	1.818	0.367	4.948	0
"compatible.C:Item238_Critical_Vadv2"	0.545	0.15	3.633	0
"compatible.C:Item238_Critical_Vadv3"	1.585	0.15	10.566	0
"compatible.C:Item238_Critical_Vadv5"	0.016	0.15	0.109	0.913
"compatible.C:Item238_Critical_Vadv6"	-1.85	0.15	-12.334	0
"compatible.C:Item238_Critical_Vadv7"	1.202	0.15	8.011	0
"compatible.C:Item238_Critical_Vadv8"	0.395	0.15	2.635	0.008
"compatible.C:Item238_Critical_Vadv9"	0.389	0.15	2.593	0.01
"compatible.C:Item238_Critical_VN1"	1.263	0.15	8.417	0
"compatible.C:Item238_Critical_VN2"	-1.049	0.15	-6.993	0
"compatible.C:Item238_Critical_VN3"	-0.415	0.15	-2.764	0.006
"compatible.C:Item238_Critical_VN5"	0.422	0.15	2.816	0.005
"compatible.C:ItemCritical_6"	0.793	0.15	5.284	0
"RC.C:EmbBias.C"	0.054	0.097	0.556	0.579
"ItemMixed_11:EmbBias.C"	-0.002	0.077	-0.032	0.974
"ItemMixed_12:EmbBias.C"	0.059	0.077	0.765	0.444
"ItemMixed_13:EmbBias.C"	-0.227	0.077	-2.953	0.003
"ItemMixed_14:EmbBias.C"	-0.023	0.077	-0.298	0.765
"ItemMixed_15:EmbBias.C"	-0.049	0.077	-0.644	0.52
"ItemMixed_16:EmbBias.C"	-0.285	0.077	-3.719	0
"ItemMixed_17:EmbBias.C"	-0.039	0.077	-0.515	0.607
"ItemMixed_18:EmbBias.C"	-0.075	0.077	-0.983	0.326
"ItemMixed_19:EmbBias.C"	-0.154	0.077	-2.01	0.044
"ItemMixed_2:EmbBias.C"	0.017	0.077	0.223	0.824
"ItemMixed_21:EmbBias.C"	0.033	0.077	0.429	0.668
"ItemMixed_22:EmbBias.C"	-0.117	0.077	-1.529	0.126
"ItemMixed_23:EmbBias.C"	0.029	0.077	0.38	0.704
"ItemMixed_24:EmbBias.C"	0.105	0.077	1.371	0.17
"ItemMixed_25:EmbBias.C"	-0.319	0.077	-4.16	0
"ItemMixed_26:EmbBias.C"	-0.002	0.077	-0.025	0.98
"ItemMixed_27:EmbBias.C"	0.279	0.077	3.635	0
"ItemMixed_28:EmbBias.C"	0.049	0.077	0.643	0.521
"ItemMixed_29:EmbBias.C"	-0.054	0.077	-0.71	0.478
"ItemMixed_3:EmbBias.C"	-0.113	0.077	-1.477	0.14
"ItemMixed_30:EmbBias.C"	0.103	0.077	1.346	0.178
"ItemMixed_31:EmbBias.C"	-0.004	0.077	-0.047	0.963
"ItemMixed_32:EmbBias.C"	0.09	0.077	1.177	0.239
"ItemMixed_33:EmbBias.C"	-0.104	0.077	-1.35	0.177
"ItemMixed_34:EmbBias.C"	-0.171	0.077	-2.232	0.026
"ItemMixed_35:EmbBias.C"	0.052	0.077	0.679	0.497
"ItemMixed_36:EmbBias.C"	0.257	0.077	3.344	0.001
"ItemMixed_37:EmbBias.C"	0.088	0.077	1.148	0.251
"ItemMixed_38:EmbBias.C"	-0.119	0.077	-1.551	0.121
"ItemMixed_39:EmbBias.C"	-0.086	0.077	-1.115	0.265
"ItemMixed_4:EmbBias.C"	-0.102	0.077	-1.327	0.185
"ItemMixed_40:EmbBias.C"	0.198	0.077	2.579	0.01
"ItemMixed_41:EmbBias.C"	-0.23	0.077	-2.999	0.003
"ItemMixed_42:EmbBias.C"	-0.144	0.077	-1.872	0.061
"ItemMixed_43:EmbBias.C"	-0.064	0.077	-0.839	0.401
"ItemMixed_5:EmbBias.C"	0.13	0.077	1.688	0.091
"ItemMixed_6:EmbBias.C"	-0.128	0.077	-1.668	0.095
"ItemMixed_7:EmbBias.C"	-0.07	0.077	-0.907	0.364
"ItemMixed_8:EmbBias.C"	0.294	0.077	3.826	0
"ItemMixed_9:EmbBias.C"	-0.073	0.077	-0.948	0.343
"Item232_Critical_0:EmbBias.C"	-0.103	0.077	-1.347	0.178
"Item232_Critical_1:EmbBias.C"	-0.2	0.077	-2.608	0.009
"Item232_Critical_10:EmbBias.C"	-0.096	0.077	-1.251	0.211
"Item232_Critical_11:EmbBias.C"	-0.006	0.077	-0.083	0.934
"Item232_Critical_12:EmbBias.C"	-0.114	0.077	-1.491	0.136
"Item232_Critical_13:EmbBias.C"	-0.123	0.077	-1.609	0.108
"Item232_Critical_14:EmbBias.C"	-0.097	0.077	-1.259	0.208
"Item232_Critical_15:EmbBias.C"	0.084	0.077	1.097	0.272
"Item232_Critical_16:EmbBias.C"	-0.106	0.077	-1.379	0.168
"Item232_Critical_17:EmbBias.C"	-0.126	0.077	-1.649	0.099
"Item232_Critical_18:EmbBias.C"	-0.074	0.077	-0.961	0.337
"Item232_Critical_19:EmbBias.C"	-0.202	0.077	-2.635	0.008
"Item232_Critical_2:EmbBias.C"	-0.125	0.077	-1.629	0.103
"Item232_Critical_20:EmbBias.C"	-0.07	0.077	-0.91	0.363
"Item232_Critical_21:EmbBias.C"	0.033	0.077	0.425	0.671
"Item232_Critical_23:EmbBias.C"	0.057	0.077	0.742	0.458
"Item232_Critical_24:EmbBias.C"	0.112	0.077	1.465	0.143
"Item232_Critical_25:EmbBias.C"	-0.063	0.077	-0.827	0.408
"Item232_Critical_26:EmbBias.C"	-0.1	0.077	-1.304	0.192
"Item232_Critical_27:EmbBias.C"	-0.113	0.077	-1.468	0.142
"Item232_Critical_28:EmbBias.C"	0.116	0.077	1.517	0.129
"Item232_Critical_3:EmbBias.C"	-0.165	0.077	-2.152	0.031
"Item232_Critical_30:EmbBias.C"	-0.095	0.077	-1.236	0.216
"Item232_Critical_4:EmbBias.C"	-0.18	0.077	-2.347	0.019
"Item232_Critical_5:EmbBias.C"	0.075	0.077	0.971	0.331
"Item232_Critical_6:EmbBias.C"	0.259	0.077	3.377	0.001
"Item232_Critical_7:EmbBias.C"	0.155	0.077	2.014	0.044
"Item232_Critical_8:EmbBias.C"	-0.203	0.077	-2.65	0.008
"Item232_Critical_9:EmbBias.C"	-0.095	0.077	-1.235	0.217
"Item238_Critical_Vadv1:EmbBias.C"	-0.082	0.137	-0.599	0.549
"Item238_Critical_VAdv1:EmbBias.C"	-0.082	0.137	-0.599	0.549
"Item238_Critical_Vadv2:EmbBias.C"	-0.058	0.077	-0.753	0.451
"Item238_Critical_Vadv3:EmbBias.C"	0.041	0.077	0.539	0.59
"Item238_Critical_Vadv5:EmbBias.C"	0.007	0.077	0.096	0.923
"Item238_Critical_Vadv6:EmbBias.C"	0.115	0.077	1.503	0.133
"Item238_Critical_Vadv7:EmbBias.C"	-0.065	0.077	-0.853	0.393
"Item238_Critical_Vadv8:EmbBias.C"	-0.1	0.077	-1.3	0.194
"Item238_Critical_Vadv9:EmbBias.C"	-0.197	0.077	-2.574	0.01
"Item238_Critical_VN1:EmbBias.C"	-0.088	0.077	-1.149	0.251
"Item238_Critical_VN2:EmbBias.C"	-0.263	0.077	-3.429	0.001
"Item238_Critical_VN3:EmbBias.C"	-0.217	0.077	-2.834	0.005
"Item238_Critical_VN5:EmbBias.C"	-0.02	0.077	-0.261	0.794
"ItemCritical_6:EmbBias.C"	-0.095	0.077	-1.239	0.215
"compatible.C:EmbBias.C"	-0.151	0.097	-1.553	0.12
"EmbBias.C:SC.C"	-0.297	0.108	-2.74	0.006
"ItemMixed_11:SC.C"	1.039	0.168	6.194	0
"ItemMixed_12:SC.C"	0.684	0.168	4.076	0
"ItemMixed_13:SC.C"	0.035	0.168	0.207	0.836
"ItemMixed_14:SC.C"	4.704	0.168	28.045	0
"ItemMixed_15:SC.C"	-0.606	0.168	-3.613	0
"ItemMixed_16:SC.C"	2.19	0.168	13.058	0
"ItemMixed_17:SC.C"	0.029	0.168	0.176	0.861
"ItemMixed_18:SC.C"	0.648	0.168	3.862	0
"ItemMixed_19:SC.C"	0.827	0.168	4.929	0
"ItemMixed_2:SC.C"	-0.85	0.168	-5.065	0
"ItemMixed_21:SC.C"	-0.399	0.168	-2.38	0.017
"ItemMixed_22:SC.C"	0.456	0.168	2.722	0.007
"ItemMixed_23:SC.C"	1.14	0.168	6.797	0
"ItemMixed_24:SC.C"	-0.957	0.168	-5.706	0
"ItemMixed_25:SC.C"	-0.347	0.168	-2.069	0.039
"ItemMixed_26:SC.C"	-0.226	0.168	-1.349	0.178
"ItemMixed_27:SC.C"	3.209	0.168	19.134	0
"ItemMixed_28:SC.C"	-1.009	0.168	-6.017	0
"ItemMixed_29:SC.C"	0.107	0.168	0.635	0.525
"ItemMixed_3:SC.C"	1.494	0.168	8.906	0
"ItemMixed_30:SC.C"	-1.232	0.168	-7.343	0
"ItemMixed_31:SC.C"	0.834	0.168	4.972	0
"ItemMixed_32:SC.C"	0.813	0.168	4.846	0
"ItemMixed_33:SC.C"	1.259	0.168	7.509	0
"ItemMixed_34:SC.C"	0.906	0.168	5.399	0
"ItemMixed_35:SC.C"	1.63	0.168	9.72	0
"ItemMixed_36:SC.C"	0.726	0.168	4.327	0
"ItemMixed_37:SC.C"	1.598	0.168	9.525	0
"ItemMixed_38:SC.C"	-2.85	0.168	-16.993	0
"ItemMixed_39:SC.C"	0.93	0.168	5.546	0
"ItemMixed_4:SC.C"	0.801	0.168	4.774	0
"ItemMixed_40:SC.C"	3.254	0.168	19.401	0
"ItemMixed_41:SC.C"	1.056	0.168	6.296	0
"ItemMixed_42:SC.C"	-2.93	0.168	-17.467	0
"ItemMixed_43:SC.C"	0.181	0.168	1.079	0.281
"ItemMixed_5:SC.C"	0.607	0.168	3.622	0
"ItemMixed_6:SC.C"	1.2	0.168	7.153	0
"ItemMixed_7:SC.C"	0.324	0.168	1.931	0.053
"ItemMixed_8:SC.C"	2.547	0.168	15.186	0
"ItemMixed_9:SC.C"	0.229	0.168	1.368	0.171
"Item232_Critical_0:SC.C"	0.624	0.168	3.72	0
"Item232_Critical_1:SC.C"	0.64	0.168	3.818	0
"Item232_Critical_10:SC.C"	4.439	0.168	26.469	0
"Item232_Critical_11:SC.C"	2.863	0.168	17.068	0
"Item232_Critical_12:SC.C"	-0.034	0.168	-0.201	0.841
"Item232_Critical_13:SC.C"	0.696	0.168	4.149	0
"Item232_Critical_14:SC.C"	0.26	0.168	1.549	0.121
"Item232_Critical_15:SC.C"	2.548	0.168	15.192	0
"Item232_Critical_16:SC.C"	0.492	0.168	2.932	0.003
"Item232_Critical_17:SC.C"	0.599	0.168	3.574	0
"Item232_Critical_18:SC.C"	1.107	0.168	6.601	0
"Item232_Critical_19:SC.C"	1.858	0.168	11.078	0
"Item232_Critical_2:SC.C"	0.931	0.168	5.553	0
"Item232_Critical_20:SC.C"	3.013	0.168	17.964	0
"Item232_Critical_21:SC.C"	0.97	0.168	5.784	0
"Item232_Critical_23:SC.C"	-0.078	0.168	-0.467	0.64
"Item232_Critical_24:SC.C"	0.807	0.168	4.814	0
"Item232_Critical_25:SC.C"	0.499	0.168	2.977	0.003
"Item232_Critical_26:SC.C"	0.602	0.168	3.588	0
"Item232_Critical_27:SC.C"	-0.085	0.168	-0.507	0.612
"Item232_Critical_28:SC.C"	1.782	0.168	10.624	0
"Item232_Critical_3:SC.C"	2.147	0.168	12.799	0
"Item232_Critical_30:SC.C"	0.738	0.168	4.398	0
"Item232_Critical_4:SC.C"	-1.919	0.168	-11.443	0
"Item232_Critical_5:SC.C"	0.062	0.168	0.371	0.71
"Item232_Critical_6:SC.C"	2.373	0.168	14.147	0
"Item232_Critical_7:SC.C"	0.033	0.168	0.199	0.842
"Item232_Critical_8:SC.C"	1.055	0.168	6.289	0
"Item232_Critical_9:SC.C"	0.963	0.168	5.742	0
"Item238_Critical_Vadv2:SC.C"	-0.883	0.168	-5.262	0
"Item238_Critical_Vadv3:SC.C"	-0.426	0.168	-2.542	0.011
"Item238_Critical_Vadv5:SC.C"	0.305	0.168	1.82	0.069
"Item238_Critical_Vadv6:SC.C"	2.982	0.168	17.778	0
"Item238_Critical_Vadv7:SC.C"	1.011	0.168	6.03	0
"Item238_Critical_Vadv8:SC.C"	0.42	0.168	2.502	0.012
"Item238_Critical_Vadv9:SC.C"	1.33	0.168	7.932	0
"Item238_Critical_VN1:SC.C"	0.815	0.168	4.859	0
"Item238_Critical_VN2:SC.C"	1.922	0.168	11.459	0
"Item238_Critical_VN3:SC.C"	1.257	0.168	7.492	0
"Item238_Critical_VN5:SC.C"	1.362	0.168	8.119	0
"ItemCritical_6:SC.C"	1.005	0.168	5.99	0
"RC.C:compatible.C:ItemMixed_11"	-0.15	0.3	-0.501	0.616
