ID	deletion_rate	predictability_weight	AICRaw	AIC	AICFull	N	None
220	13828556	0.9	1	2034.495	2028.674	1863.705	1997	
221	695994406	0.1	1	3884.948	3896.656	3522.692	3867	
222	902939968	0.9	0.5	5362.225	5334.009	4684.153	5321	
223	316626500	0.65	1	5347.945	5325.83	4687.054	5332	
224	824700045	0.3	0.75	5217.538	5218.919	4592.117	5226	
225	279691005	0.05	1	5297.306	5299.533	4679.896	5332	
226	692332722	0.25	1	4821.327	4835.291	4677.951	5332	
227	634649141	0.25	1	5046.257	5061.333	4642.944	5309	
228	362687782	0.85	0.25	5406.581	5355.068	4687.834	5332	
229	788067390	0.3	0.5	5297.097	5300.152	4681.835	5332	
230	521814402	0.5	0.75	4865.333	4879.163	4676.102	5332	
231	490858931	0.7	1	5216.299	5226.521	4661.945	5332	
232	565637744	0.6	0	5421.421	5356.178	4694.724	5332	
233	472922168	0.05	1	4774.632	4774.655	4198.808	4756	
234	856637897	0.5	1	5114.722	5130.441	4680.101	5332	
235	947060356	0.35	1	5257.846	5260.387	4644.703	5274	
236	530204900	0.2	1	4671.294	4672.375	4128.194	4653	
237	353574873	0.55	0.5	4914.263	4921.505	4668.034	5332	
238	758817613	0.85	0.5	4993.66	4984.253	4398.552	4931	
239	448156687	0.6	0.5	5248.967	5251.265	4678.706	5332	
240	556117679	0.35	0.25	5276.708	5284.51	4682.158	5332	
241	490395601	0.7	1	2983.032	2999.57	2865.293	3187	
242	281194943	0.35	1	5288.9	5293.385	4688.164	5332	
243	664196668	0.65	0.75	5230.284	5242.779	4699.058	5332	
244	864246717	0.75	0	5408.72	5355.891	4714.042	5332	
245	893011273	0.75	0.25	5267.466	5266.873	4680.004	5322	
246	25100658	0.65	1	5248.976	5255.65	4687.917	5332	
247	749986876	0.8	0.5	5327.992	5262.757	4599.828	5224	
248	501127704	0.25	0.25	5305.09	5305.323	4680.412	5332	
249	561047386	0.65	1	4747.38	4760.716	4532.7	5138	
250	401440020	0.55	1	4853.276	4866.592	4670.888	5320	
251	897549714	0.75	1	5302.266	5296.35	4687.712	5332	
252	678113533	0.85	0	5313.288	5253.942	4624.822	5200	
253	351139122	0.4	1	5189.682	5206.846	4665.356	5332	
254	393112956	0.9	1	5208.399	5194.697	4585.749	5203	
255	328896297	0.95	0	5399.273	5354.935	4715.388	5332	
256	844017695	0.25	1	4954.771	4968.468	4690.738	5332	
257	86067134	0.1	1	5303.005	5303.595	4680.209	5332	
258	893536272	0.55	1	4901.599	4912.781	4666.13	5332	
259	99799397	0.4	1	4842.139	4853.964	4677.21	5332	
260	709357760	0.8	1	3288.041	3247.258	2856.008	3239	
261	455334604	0.35	0.75	5066.181	5083.164	4581.276	5240	
